Row,Title_NL,Description_NL,Title_EN,Description_EN
26,"Gerookte zalm met wasabimayonaise","Sandwich met gerookte zalm, ei, kappertjes, rode ui en frisée.","Smoked Salmon with Wasabi Mayonnaise","Sandwich with smoked salmon, egg, capers, red onion, and frisée."
27,"Club sandwich kip met bacon","Royale clubsandwich met kip, bacon, sla, ei, tomaat en truffelmayonaise.","Chicken and Bacon Club Sandwich","A generous club sandwich with chicken, bacon, lettuce, egg, tomato, and truffle mayonnaise."
28,"Club sandwich zalm met kreeftenmayonaise","Royale clubsandwich met zalm, sla, ei, tomaat en kreeftenmayonaise.","Salmon Club Sandwich with Lobster Mayonnaise","A sumptuous club sandwich featuring salmon, lettuce, egg, tomato, and lobster mayonnaise."
29,"Kroketten op brood","Rundvleeskroketten (2 stuks) met brood en mosterd.","Beef Croquettes on Bread","Two beef croquettes served with bread and mustard."
30,"Garnalenkroketten (2 stuks)","Twee Zeeuwse garnalenkroketten op witlof, avocado, toast en kreeftenmayonaise.","Shrimp Croquettes (2 pieces)","Two Zeeland shrimp croquettes served on endive, avocado, toast, and lobster mayonnaise."
31,"Huisgemaakte bal gehakt","Met brood, mosterd of mayonaise.","Homemade Meatball","Served with bread, mustard, or mayonnaise."
32,"Garnalen cocktail","Hollandse garnalen met ijsbergsla, witlof, appel, cherrytomaat en cocktailsaus, geserveerd met een garnalenkroket.","Shrimp Cocktail","Dutch shrimp with iceberg lettuce, endive, apple, cherry tomatoes, and cocktail sauce, served with a shrimp croquette."
33,"Carpaccio Ossenhaas","Carpaccio van ossenhaas met pijnboompitten, slaboeket, Pecorino en truffelmayonaise.","Beef Carpaccio","Tender beef carpaccio with pine nuts, mixed greens, Pecorino cheese, and truffle mayonnaise."
34,"Tonijn craquelé","Dungesneden tonijn met crème van Parmezaan, ricotta, komkommer, wasabimayonaise, sesam en shiso.","Cracked Tuna","Thinly sliced tuna with Parmesan cream, ricotta, cucumber, wasabi mayonnaise, sesame, and shiso."
35,"Steak tartaar","Tartaar van ossenhaas met sjalotten, kappertjes, cornichons, dragon, peterselie, tabasco en gepocheerd ei met croustini’s.","Steak Tartare","Tender beef tenderloin tartare with shallots, capers, gherkins, tarragon, parsley, Tabasco, and a poached egg, served with crostini."
36,"Vitello Tonnato","Dungesneden kalfslende met rucola, tonijnmayonaise, kappertjes en zongedroogde tomaatjes.","Vitello Tonnato","Thinly sliced veal with arugula, tuna mayonnaise, capers, and sun-dried tomatoes."
37,"Gamba pannetje","Gamba’s gebakken in knoflook en chili, geserveerd met brood en aioli.","Garlic and Chili Prawns","Prawns sautéed in garlic and chili, served with bread and aioli."
38,"Tonijnsteak","Tonijn gebakken in sesamzaadjes, geserveerd op paksoi, shiitake, sojaboontjes en bosui met soja-gembersaus.","Tuna Steak","Sesame-crusted tuna served on a bed of bok choy, shiitake mushrooms, soybeans, and scallions, drizzled with soy-ginger sauce."
39,"Tolhuis Burger","Black Angus burger met kaas en spek op brioche bol, met sla, tomaat, augurk, jalapeño en burgersaus.","Tolhuis Burger","Black Angus burger topped with cheese and bacon on a brioche bun, served with lettuce, tomato, pickles, jalapeños, and burger sauce."
40,"Saté Bali","Gegrilde spies van ossenhaas op pittige boontjes, taugé, atjar, pindasaus, ei, krokante ui, seroendeng en kroepoek.","Balinese Satay","Grilled beef skewers served with spicy green beans, bean sprouts, pickled vegetables, peanut sauce, egg, crispy onions, seroendeng, and prawn crackers."
41,"Zeetong à la meunière (400g)","Klassiek in roomboter gebakken zeetong met zeekraal, peterselie en citroen.","Sole Meunière (400g)","Classic sole sautéed in butter, served with samphire, parsley, and lemon."
42,"Biefstuk Tolhuis","Ossenhaas ‘dikbil’ op wokgroenten met keuze uit Roquefortsaus, truffel- of peperroomsaus.","Tolhuis Beef Steak","Tender 'thick-cut' beef tenderloin served on a bed of stir-fried vegetables, with a choice of Roquefort sauce, truffle cream, or pepper sauce."
43,"Scroppino","Citroenijs met vodka en prosecco, een frisse Italiaanse klassieker.","Scroppino","Lemon sorbet with vodka and prosecco, a refreshing Italian classic."
44,"Verse aardbeien","Verse aardbeien met mascarpone vanillecrème, vanille-ijs en slagroom.","Fresh Strawberries","Fresh strawberries with vanilla mascarpone cream, vanilla ice cream, and whipped cream."
45,"Crème Brûlée","Limoen crème brûlée met krokant laagje, geserveerd met aardbeien sorbetijs.","Lime Crème Brûlée","Lime crème brûlée with a crisp topping, served with strawberry sorbet."
46,"Creuses St. Camelot (3 stuks)","Volle oesters uit Normandië met romige en zilte smaak, geserveerd met citroen en Mignonette vinaigrette.","St. Camelot Oysters (3 pieces)","Plump Normandy oysters with a rich, briny flavor, served with lemon and Mignonette vinaigrette."
47,"Creuses St. Camelot (3 stuks) gegratineerd","Volle oesters uit Normandië met romige en zilte smaak, gegratineerd met Hollandaise saus.","Gratinated St. Camelot Oysters (3 pieces)","Plump Normandy oysters with a rich, briny flavor, gratinated with Hollandaise sauce."
48,"Borrelplank warm","Bitterballen, kaastengels, vlammetjes, kaassoufflés, frikandelletjes en Amsterdamse ui (20 stuks).","Warm Snack Platter","Bitterballen, cheese sticks, spicy cheese bites, cheese soufflés, mini frikandels, and Amsterdam onions (20 pieces)."
49,"Kaasblokjes met Amsterdamse ui","Klassieke borrelsnack.","Cheese Cubes with Amsterdam Onions","Classic bar snack."
50,"Ossenworst met Amsterdamse ui","Traditionele ossenworst.","Ox Sausage with Amsterdam Onions","Traditional ox sausage."
51,"Frikandelletjes (4 stuks)","Kleine frikandellen met saus.","Mini Frikandels (4 pieces)","Bite-sized frikandels served with sauce."
52,"Frikandelletjes (8 stuks)","Kleine frikandellen met saus.","Mini Frikandellen (8 pieces)","Bite-sized frikandellen served with sauce."
53,"Kaassoufflés (4 stuks)","Kleine kaassoufflés.","Cheese Soufflés (4 pieces)","Delicate cheese soufflés."
54,"Kaassoufflés (8 stuks)","Kleine kaassoufflés.","Cheese Soufflés (8 pieces)","Delicate cheese soufflés."
55,"Bitterballen Oma Bobs (4 stuks)","Klassieke bitterballen.","Grandma Bob's Bitterballen (4 pieces)","Classic Dutch meatballs."
56,"Bitterballen Oma Bobs (8 stuks)","Klassieke bitterballen.","Grandma Bob's Bitterballen (8 pieces)","Classic Dutch meat croquettes."
57,"Bamihapjes (4 stuks)","Oosterse bamihapjes.","Bami Bites (4 pieces)","Eastern-style bami snacks."
58,"Bamihapjes (8 stuks)","Oosterse bamihapjes.","Bami Bites (8 pieces)","Eastern-style bami snacks."
59,"Gehaktbal in stukjes (4 stuks)","Kleine gehaktballetjes.","Mini Meatballs (4 pieces)","Savory bite-sized meatballs."
60,"Gehaktbal in stukjes (8 stuks)","Kleine gehaktballetjes.","Mini Meatballs (8 pieces)","Savory bite-sized meatballs."
61,"Kaastengel (4 stuks)","Krokante kaastengels.","Cheese Sticks (4 pieces)","Crispy cheese sticks."
62,"Kaastengel (8 stuks)","Krokante kaastengels.","Cheese Sticks (8 pieces)","Crispy cheese sticks."
63,"Vlammetjes (4 stuks)","Pittige vleesvlammetjes.","Spicy Meat Bites (4 pieces)","Fiery meat pastries."
64,"Vlammetjes (8 stuks)","Pittige vleesvlammetjes.","Spicy Meat Bites (8 pieces)","Fiery meat pastries."
65,"Chickenwings (4 stuks)","Krokante kippenvleugels.","Chicken Wings (4 pieces)","Crispy chicken wings."
66,"Chickenwings (8 stuks)","Krokante kippenvleugels.","Crispy Chicken Wings (8 pieces)","Crunchy chicken wings."
67,"Gamba tempura (4 stuks)","Garnalen in tempurabeslag.","Tempura Prawns (4 pieces)","Prawns in a light tempura batter."
68,"Gamba tempura (8 stuks)","Garnalen in tempurabeslag.","Tempura Prawns (8 pieces)","Prawns in a light tempura batter."
69,"Koffie","Verse gemalen koffie, klassiek geserveerd.","Coffee","Freshly ground coffee, served classically."
70,"Espresso","Sterke en pure koffie, klein kopje.","Espresso","Bold and pure coffee, served in a small cup."
71,"Dubbele espresso","Extra krachtige dubbele espresso.","Double Espresso","Extra strong double espresso."
72,"Cappuccino","Espresso met warme melk en melkschuim.","Cappuccino","Espresso with steamed milk and frothy milk foam."
73,"Latte (verkeerd)","Grote kop koffie met veel melk.","Latte (Wrong Way)","Large cup of coffee with plenty of milk."
74,"Latte Macchiato","Gelaagde koffie met warme melk en schuim.","Latte Macchiato","Layered coffee with warm milk and froth."
75,"Espresso Macchiato","Espresso met een klein beetje melkschuim.","Espresso Macchiato","Espresso topped with a touch of frothy milk."
76,"Flat White","Sterke espresso met dunne laag romig schuim.","Flat White","Bold espresso topped with a delicate layer of creamy foam."
77,"Irish coffee (Jameson)","Koffie met Ierse whiskey en slagroom.","Irish Coffee (Jameson)","Coffee with Irish whiskey and whipped cream."
78,"Spanish coffee (Tia Maria)","Koffie met Tia Maria en slagroom.","Spanish Coffee","Coffee with Tia Maria and whipped cream."
79,"Italian coffee (Amaretto Disaronno)","Koffie met Amaretto en slagroom.","Italian Coffee (Amaretto Disaronno)","Coffee with Amaretto and whipped cream."
80,"American coffee (Bailey’s)","Koffie met Bailey’s en slagroom.","Irish Coffee","Coffee with Bailey’s and whipped cream."
81,"French coffee (Grand Marnier)","Koffie met Grand Marnier en slagroom.","French Coffee (Grand Marnier)","Coffee with Grand Marnier and whipped cream."
82,"Brazil coffee (Tia Maria + Grand Marnier)","Koffie met Tia Maria, Grand Marnier en slagroom.","Brazilian Coffee","Coffee with Tia Maria, Grand Marnier, and whipped cream."
83,"Warme chocomelk","Klassieke warme chocolademelk.","Hot Chocolate","Classic hot chocolate."
84,"Warme chocomelk met slagroom","Warme chocolademelk met slagroom.","Hot Chocolate","Rich hot chocolate topped with whipped cream."
85,"Warme chocomelk met rum en slagroom","Warme chocolademelk met rum en slagroom.","Spiked Hot Chocolate","Rich hot chocolate with rum and whipped cream."
86,"Verse muntthee","Thee van verse muntblaadjes.","Fresh Mint Tea","Tea infused with fresh mint leaves."
87,"Verse gemberthee","Thee van verse gember.","Fresh Ginger Tea","Tea infused with fresh ginger."
88,"Verse gember-muntthee","Thee van verse gember en munt.","Fresh Ginger Mint Tea","Tea infused with fresh ginger and mint."
89,"Thee (diverse smaken)","Diverse theesmaken, geserveerd warm.","Tea (various flavors)","A selection of warm, diverse tea flavors."
90,"Jus d’orange","Vers geperst sinaasappelsap.","Fresh Orange Juice","Freshly squeezed orange juice."
91,"Jus d’orange en wortel","Mix van sinaasappel en wortel.","Orange and Carrot Juice","A refreshing blend of orange and carrot."
92,"Jus d’orange, wortel en gember","Sinaasappel met wortel en vleugje gember.","Orange, Carrot, and Ginger Juice","Orange with carrot and a hint of ginger."
93,"Franse uiensoep","Klassieke Franse uiensoep met krokant kaaskorstje (bereiding ±20 minuten).","French Onion Soup","Classic French onion soup topped with a crispy cheese crust (preparation time ±20 minutes)."
94,"Caesar salade","Caesar salade met gegaarde kippendijen, romeinse sla, ansjovis, croutons, gepocheerd ei, Parmezaan en Caesardressing.","Caesar Salad","Caesar salad with tender chicken thighs, romaine lettuce, anchovies, croutons, poached egg, Parmesan, and Caesar dressing."
95,"Salade Tolhuis","Frisse salade met gerookte zalm, Hollandse garnaaltjes en gamba, ingelegde venkel, komkommer, cherry tomaatjes, gekookt eitje, croutons en een citroen vinaigrette.","Tolhuis Salad","Fresh salad with smoked salmon, Dutch shrimp and prawns, pickled fennel, cucumber, cherry tomatoes, a boiled egg, croutons, and a lemon vinaigrette."
96,"Casa Silva","Merlot (75cl)","Casa Silva","Merlot (750ml)"
97,"Pucari","Merlot (75cl)","Pucari","Merlot (75cl)"
98,"Cecilia Beretta","Pinot Grigio (15cl)","Cecilia Beretta","Pinot Grigio (5 oz)"
99,"Mâcon Uchizy Blanc","Chardonnay (15cl)","Mâcon Uchizy Blanc","Chardonnay (5 oz)"
100,"LIP Rosé Côtes de Provence","Rosé  (15cl)","LIP Rosé Côtes de Provence","Rosé (150ml)"
101,"Casa Silva","Merlot (15cl)","Casa Silva","Merlot (5 oz)"
102,"Casa Silva","Chardonnay (15cl)","Casa Silva","Chardonnay (5 oz)"
103,"446 Noble Vines","Chardonnay (15cl)","446 Noble Vines","Chardonnay (5 oz)"
104,"Borgo dei Trulli Primitivo","Primitivo (15cl)","Borgo dei Trulli Primitivo","Primitivo (150ml)"
105,"Marques de Caceres Crianza","Rioja (15cl)","Marques de Caceres Crianza","Rioja (150ml)"
106,"Clapière Jardin de Jules","Rouge (15cl)","Clapière Garden of Jules","Red (15cl)"
107,"Pucari","Sauvignon Blanc (75cl)","Pucari","Sauvignon Blanc (75cl)"
108,"Cecilia Beretta","Pinot Grigio (75cl)","Cecilia Beretta","Pinot Grigio (750ml)"
109,"Mâcon Uchizy Blanc","Chardonnay (75cl)","Mâcon Uchizy Blanc","Chardonnay (750ml)"
110,"LIP Rosé Côtes de Provence","Rosé  (75cl)","LIP Rosé Côtes de Provence","Rosé Wine (75cl)"
111,"Casa Silva","Merlot (75cl)","Casa Silva","Merlot (750ml)"
112,"Casa Silva","Chardonnay (75cl)","Casa Silva","Chardonnay (750ml)"
113,"446 Noble Vines","Chardonnay (75cl)","446 Noble Vines","Chardonnay (750ml)"
114,"Borgo dei Trulli Primitivo","Primitivo (75cl)","Borgo dei Trulli Primitivo","Primitivo (750ml)"
115,"Marques de Caceres Crianza","Rioja (75cl)","Marques de Caceres Crianza","Rioja (750ml)"
116,"Clapière Jardin de Jules","Rouge (75cl)","Clapière Garden of Jules","Red (75cl)"
117,"de Sevre & Maine","Muscadet","Sevre & Maine","Muscadet Wine"
118,"Sancerre Domaine Jean-Max Roger","Sauvignon Blanc","Sancerre Domaine Jean-Max Roger","Sauvignon Blanc"
119,"Chablis Domaine Vincent Dampt","Chardonnay","Chablis Domaine Vincent Dampt","Chardonnay"
120,"Château Minuty Côtes de Provance","281 Rosé prestige","Château Minuty Côtes de Provence","281 Prestige Rosé"
121,"Vins Jean-Luc Colombo","Côtes-du-Rhône Villages","Vins Jean-Luc Colombo","Côtes-du-Rhône Villages"
122,"Casa Silva Red Quinta Generación","Shiraz-Carmenère","Casa Silva Red Quinta Generación","Shiraz-Carmenère Blend"
123,"Villa Maria Reserve Marlborough","Pinot Noir","Villa Maria Reserve Marlborough","Pinot Noir"
124,"Black Stallion Napa Valley","Cabernet Sauvignon","Black Stallion Napa Valley","Cabernet Sauvignon"
125,"Barolo Undicicomuni Arnaldo Rivera","Nebbiolo","Barolo Undicicomuni Arnaldo Rivera","Nebbiolo Grapes"
126,"Cava","Piccolo Jaume Serra Brut","Cava","Piccolo Jaume Serra Brut"
127,"Moët & Chandon (glas)","Impérial Brut (15cl)","Moët & Chandon (glass)","Impérial Brut (150ml)"
128,"Moët & Chandon","Impérial Brut (75cl)","Moët & Chandon","Impérial Brut (75cl)"
129,"Champagne Veuve Clicquot","Rosé (75cl)","Veuve Clicquot Champagne","Rosé (75cl)"
130,"Champagne Ruinart","Blanc de Blancs (75cl)","Ruinart Champagne","Blanc de Blancs (75cl)"
131,"LVMH Spritz","Chardon garden & verse sinaasappel","LVMH Spritz","Chardon garden & fresh orange"
132,"Aperol Spritz","Aperol, Prosecco, Fever-Tree Soda, sinaasappel","Aperol Spritz","Aperol, Prosecco, Fever-Tree Soda, orange slice"
133,"Limoncello Spritz","Luxardo Limoncello, Prosecco, sparkling water, citroen","Limoncello Spritz","Luxardo Limoncello, Prosecco, sparkling water, lemon"
134,"Italian Spritz","Martini Fiero, Prosecco, Fever-Tree soda","Italian Spritz","Martini Fiero, Prosecco, Fever-Tree soda"
135,"Pornstar Martini","Vanilla vodka, passievruchtlikeur, limoensap","Pornstar Martini","Vanilla vodka, passion fruit liqueur, lime juice"
136,"Moscow Mule","Vodka, Fever-Tree ginger beer, limoensap","Moscow Mule","Vodka, Fever-Tree ginger beer, lime juice"
137,"Mojito","Rum, soda, limoensap, munt, rietsuiker","Mojito","Rum, soda, lime juice, mint, cane sugar"
138,"Dark & Stormy","Bacardi Spiced, Fever-Tree ginger beer, limoen","Dark & Stormy","Bacardi Spiced rum, Fever-Tree ginger beer, lime"
139,"Gin Tonic","Bombay Sapphire, Fever-Tree tonic, citroen","Gin and Tonic","Bombay Sapphire, Fever-Tree tonic, lemon"
140,"Espresso Martini","Vodka, Tia Maria, espresso, rietsuiker","Espresso Martini","Vodka, Tia Maria, espresso, cane sugar"
141,"French Spritz 0.0","Martini Floreale, appelsap, Fever-Tree soda, citroen","French Spritz 0.0","Martini Floreale, apple juice, Fever-Tree soda, lemon"
142,"Italian Spritz 0.0","Monin elder flower, Fever-Tree soda water, verse munt","Italian Spritz 0.0","Monin elderflower, Fever-Tree soda water, fresh mint"
143,"Crodino 0.0","Alcoholvrije cocktail","Crodino 0.0","Non-alcoholic cocktail"
144,"Campari","Aperitief","Campari","Aperitif"
145,"Apfelkorn Berentzen","Aperitief","Apfelkorn Berentzen","Aperitif"
146,"Pernod","Aperitief","Pernod","Aperitif"
147,"Jägermeister","Aperitief","Jägermeister","Herbal Liqueur Aperitif"
148,"Martini Bianco & Rosso","Aperitief","Martini Bianco & Rosso","Aperitif"
149,"St Germain","Aperitief","St Germain","Aperitif"
150,"De Koninck (tap)","Amberkleurig Belgisch bier","De Koninck (draft)","Amber Belgian ale"
151,"La Chouffe Blond (tap)","Blond Belgisch speciaalbier","La Chouffe Blond (on tap)","Blonde Belgian specialty beer"
152,"Westmalle Tripel (tap)","Krachtige trappist","Westmalle Tripel (on tap)","Bold Trappist Ale"
153,"Duvel","Belgisch blond speciaalbier","Duvel","Belgian Blonde Specialty Beer"
154,"Liefmans Rosé","Fruitig rosébier","Liefmans Rosé","Fruity Rosé Beer"
155,"Sol","Fris Mexicaans bier","Sol Beer","Crisp Mexican Lager"
156,"De Koninck","Amberkleurig Belgisch bier","De Koninck","Amber Belgian Ale"
157,"La Chouffe Blond","Blond Belgisch speciaalbier","La Chouffe Blond","Blonde Belgian Specialty Beer"
158,"Westmalle Tripel","Krachtige trappist","Westmalle Tripel","Bold Trappist Ale"
159,"Eristoff","Vodka","Eristoff","Vodka"
160,"Grey Goose","Vodka","Grey Goose Vodka","Premium Vodka"
161,"Bacardi","Rum","Bacardi","Rum"
162,"Bacardi Spiced","Rum","Bacardi Spiced","Spiced Rum"
163,"Jack Daniel’s No 7","Whisky","Jack Daniel's No. 7","Whiskey"
164,"Chivas Regal","Whisky","Chivas Regal","Whisky"
165,"Dewar’s white label","Whisky","Dewar's White Label","Whisky"
166,"Dewar’s Reserve","12 years","Dewar's Reserve","Aged 12 Years"
167,"Aberfeldy","12 years","Aberfeldy","Aged 12 Years"
168,"Singleton","12 years single malt","Singleton","12-Year-Old Single Malt Whisky"
169,"Cardhu","12 years single malt","Cardhu","12-Year-Old Single Malt Whisky"
170,"Dimple","Whisky","Dimple","Whisky"
171,"Ballentines","Whisky","Ballentines","Whisky-infused meatballs"
172,"Four Roses Bourbon","Whisky","Four Roses Bourbon","Whiskey"
173,"Hennessy VS","Cognac","Hennessy VS","Cognac"
174,"Bailey’s","Likeur","Bailey's","Liqueur"
175,"Amaretto Disaronno","Likeur","Amaretto Disaronno","Liqueur"
176,"Safari","Likeur","Safari","Liqueur"
177,"Limoncello Luxardo","Likeur","Limoncello Luxardo","Liqueur"
178,"Sambuca Luxardo","Likeur","Sambuca Luxardo","Liqueur"
179,"Cazadores Reposado","Likeur","Cazadores Reposado","Liqueur"
180,"Cazadore Blanco","Likeur","Cazadore Blanco","Liqueur"
181,"Patron Silver","Likeur","Patron Silver","Liqueur"
182,"Southern Comfort","Likeur","Southern Comfort","Liqueur"
183,"Licor 43","Likeur","Licor 43","Liqueur"
184,"Drambuie","Likeur","Drambuie","Liqueur"
185,"Tia Maria","Likeur","Tia Maria","Liqueur"
186,"Cointreau","Likeur","Cointreau","Liqueur"
187,"Courvoisier VS","Cognac","Courvoisier VS","Cognac"
188,"Martell VSOP","Cognac","Martell VSOP","Cognac"
189,"Calvados VSOP","Cognac","Calvados VSOP","Fine Apple Brandy"
190,"Armagnac BAS VSOP","Cognac","Armagnac BAS VSOP","Fine Brandy"
191,"Bombay Sapphire","Gin","Bombay Sapphire","Gin"
192,"Bobby’s","Gin","Bobby’s","Gin"
193,"Bombay Bramble","Gin","Bombay Bramble","Gin-infused cocktail"
194,"Bombay Pressé","Gin","Bombay Pressé","Gin Cocktail"
195,"Bombay Premier Cru","Gin","Bombay Premier Cru","Gin"
196,"Copperhead","Gin","Copperhead","Gin"
197,"Bulldog","Gin","Bulldog","Gin"
198,"Seedlip spicy 0.0","Gin","Seedlip Spicy 0.0","Non-alcoholic gin"
199,"Ketel 1","Jenever","Ketel 1","Genever"
200,"Sonnema Beerenburg","Jenever","Sonnema Beerenburg","Herbal Jenever"
201,"Corenwijk Bols","Jenever","Corenwijk Bols","Genever"
202,"Oude Jenever Zuidam","Jenever","Old Jenever Zuidam","Genever"
203,"Vieuw Hoppe","Jenever","Dutch Hoppe","Genever"
204,"Heineken 0.0","Alcoholvrij bier (fles)","Heineken 0.0","Non-alcoholic beer (bottle)"
205,"Brand Weizen 0.0","Alcoholvrij bier (fles)","Brand Weizen 0.0","Non-alcoholic wheat beer (bottle)"
206,"Brand IPA 0.0","Alcoholvrij bier (fles)","Brand IPA 0.0","Non-alcoholic beer (bottle)"
207,"Affligem Blond 0.0","Alcoholvrij bier (fles)","Affligem Blond 0.0","Non-alcoholic beer (bottle)"
208,"Amstel Radler 0.0","Alcoholvrij bier (fles)","Amstel Radler 0.0","Non-alcoholic beer (bottle)"
209,"Frans stokbroodje met jam","Vers stokbroodje met jam.","French Baguette with Jam","Freshly baked baguette served with jam."
210,"Koffie, stokbroodje & jus","Combinatie van koffie, stokbroodje en verse jus.","Coffee, Baguette & Fresh Juice","A delightful pairing of coffee, a crusty baguette, and freshly squeezed juice."
211,"Stokbroodje, kaas, ham & jus","Compleet ontbijt met stokbroodje, kaas, ham en jus.","Baguette with Cheese, Ham & Gravy","A complete breakfast featuring a baguette, cheese, ham, and gravy."
